f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
1,1.581775,0,82.89681,64.67144,1,0.3790014,-0.6503599,-0.6583236,-0.1224034,-0.4574901,-0.8807498,0.2301774,-0.3814913,-0.8952557,-0.2383324,-0.5547786,0.7971314,-0.4181392,-0.4997525,0.7585559,0,1,1,0,0,26.52359,65.87738,70.45921,20.73767,17.87956,7.86527,72.85699,22.02132,56.69573,V
1,1.54011,0,82.89681,63.50529,1,0.3730651,-0.6567745,-0.6553394,-0.09948288,-0.5121761,-0.8530995,0.2068806,-0.4186935,-0.884249,-0.2134984,-0.5874081,0.7806217,-0.4199441,-0.4974061,0.7591008,0,1,1,0,0,26.43868,64.9353,70.12059,22.62156,18.23188,8.796401,73.14445,20.83194,55.29542,V
1,1.598784,0,82.89681,63.2478,0.9828556,0.3451222,-0.6645275,-0.6627925,-0.1013378,-0.5334556,-0.8397355,0.19401,-0.4443813,-0.8745773,-0.2418363,-0.5061113,0.8278687,-0.4281213,-0.4595779,0.7781391,0,1,1,0,0,26.73778,64.67133,69.83523,21.76713,18.0217,8.178769,74.66096,20.43287,54.24171,V
1,1.617023,0,82.89681,64.28342,0.9919484,0.3745684,-0.6420785,-0.6689048,-0.1066842,-0.5074785,-0.8550345,0.1940641,-0.4060185,-0.8930219,-0.228732,-0.4812123,0.8462366,-0.4070248,-0.4132068,0.8146109,0,1,1,0,0,26.6278,65.04436,70.44585,21.14443,17.71359,8.135445,75.75562,20.80714,55.15295,V
1,1.579235,0,82.89681,64.70817,0.9526854,0.30377,-0.6739783,-0.6734071,-0.1347288,-0.4760109,-0.869058,0.1673222,-0.420414,-0.8917709,-0.2217788,-0.4947532,0.840258,-0.3963521,-0.393635,0.8294315,0,1,1,0,0,27.13267,65.21205,70.56277,21.95222,18.35843,8.392337,76.24782,20.63214,55.17571,V
1,1.594512,0,82.89681,65.14985,0.9221002,0.2854373,-0.687648,-0.667582,-0.1247171,-0.4636848,-0.8771785,0.1573149,-0.432793,-0.8876611,-0.2661133,-0.4210387,0.8671275,-0.4195423,-0.4091019,0.8103209,0,1,1,0,0,27.08496,65.54519,70.47135,21.03291,18.71498,7.080186,76.95821,19.70572,55.95641,V
1,1.55758,0,82.89681,63.60058,1,0.2611728,-0.7196465,-0.6433488,-0.1590532,-0.509949,-0.8453722,0.1120168,-0.4905685,-0.8641729,-0.3005924,-0.4124356,0.8599657,-0.4394658,-0.4781496,0.7604228,0,1,1,0,0,25.93508,64.74657,69.85101,21.20818,19.62777,6.45471,75.58518,19.45643,55.81228,V
1,1.510131,0,82.89681,63.37211,1,0.2658129,-0.700472,-0.6623311,-0.1723595,-0.4825111,-0.8587638,0.1210138,-0.4468749,-0.8863737,-0.2774145,-0.4785964,0.8330587,-0.4091268,-0.5130391,0.7545901,0,1,1,0,0,26.07175,65.09409,70.51026,21.47212,19.74666,6.588462,74.83081,20.27863,55.49345,V
1,1.597986,0,82.89681,64.73205,0.8883149,0.280157,-0.6788655,-0.6787148,-0.1377302,-0.4189776,-0.8974899,0.2024799,-0.422893,-0.8832686,-0.2840428,-0.4433469,0.8501548,-0.436228,-0.4264017,0.7923931,0,1,1,0,0,27.46566,66.35987,70.28671,20.62456,18.40391,7.191966,75.93336,21.1554,56.13559,V
1,1.616265,0,82.89681,64.617,0.9787902,0.3787464,-0.6441397,-0.6645564,-0.09763618,-0.4813241,-0.871088,0.2161098,-0.3990959,-0.8910775,-0.2372407,-0.4753314,0.8472171,-0.4290436,-0.396936,0.811396,0,1,1,0,0,26.66425,65.52145,70.46688,21.0049,17.52825,8.161915,75.95969,20.97223,55.855,V
1,1.598332,0,82.89681,63.58941,1,0.3907292,-0.650414,-0.6513773,-0.08114903,-0.5037915,-0.8600053,0.2350324,-0.41944,-0.8768294,-0.2587248,-0.5305246,0.8072206,-0.4549338,-0.4485979,0.7692822,0,1,1,0,0,26.4104,65.48145,69.77823,21.43333,17.79234,8.330043,73.62518,20.74862,55.77651,V
1,1.542067,0,82.89681,62.52434,0.9858844,0.3422053,-0.6537336,-0.6749281,-0.07280783,-0.4994697,-0.8632665,0.242846,-0.397741,-0.8847757,-0.2361369,-0.6106394,0.7558829,-0.4179737,-0.5766469,0.7019802,0,1,1,0,0,27.31213,65.56041,70.05868,21.83639,18.44574,8.110993,71.01196,20.93401,53.83799,V
1,1.619022,0,82.89681,62.73183,1,0.4085382,-0.6341409,-0.6564769,-0.07458289,-0.488636,-0.8692942,0.2557601,-0.4055305,-0.8775715,-0.2940591,-0.5063343,0.8106508,-0.4688083,-0.4840139,0.7388839,0,1,1,0,0,26.42476,65.93758,69.82406,19.91519,17.68457,7.395942,72.19096,21.13146,55.44678,V
